=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.26 15:24:21 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
,,,,,
Tiempo ,CONTROL,VELOCIDA,REFERENC,,
,,,,,
-0.1,0,0,0,,Sobre Impulso
-0.095,0,0,0,,4.44500
-0.09,0,0,0,,Promedio
-0.085,0,0,0,,4.001850746
-0.08,0,0,0,,Mediana:
-0.075,0,0,0,,4.0030
-0.07,0,0,0,,Sobreimpulso %
-0.065,0,0,0,,11.074
-0.06,0,0,0,,
-0.055,0,0,0,,Perturbación
-0.05,0,0,0,,Tiempo:
-0.045,0,0,0,,1.295
-0.04,0,0,0,,Valor mínimo
-0.035,0,0,0,,2.968
-0.03,0,0,0,,Porcentaje
-0.025,0,0,0,,25.83431547
-0.02,0,0,0,,
-0.015,0,0,0,,
-0.01,0,0,0,,
-0.005,0,0,0,,
0,-0.011,0.012,0,,
0.005,-0.018,0.02,0,,
0.01,-0.021,0.022,0,,
0.015,-0.022,0.022,0,,
0.02,-0.021,0.02,0,,
0.025,-0.022,0.02,0,,
0.03,-0.025,0.022,0,,
0.035,-0.026,0.022,0,,
0.04,-0.025,0.02,0,,
0.045,-0.026,0.02,0,,
0.05,-0.027,0.02,0,,
0.055,-0.028,0.02,0,,
0.06,-0.029,0.02,0,,
0.065,-0.03,0.02,0,,
0.07,-0.031,0.02,0,,
0.075,-0.032,0.02,0,,
0.08,-0.033,0.02,0,,
0.085,-0.034,0.02,0,,
0.09,-0.035,0.02,0,,
0.095,-0.038,0.022,0,,
0.1,-0.037,0.02,0,,
0.105,-0.038,0.02,0,,
0.11,-0.036,0.018,0,,
0.115,-0.039,0.02,0,,
0.12,-0.038,0.018,0,,
0.125,-0.041,0.02,0,,
0.13,-0.042,0.02,0,,
0.135,-0.043,0.02,0,,
0.14,-0.042,0.018,0,,
0.145,-0.045,0.02,0,,
0.15,-0.046,0.02,0,,
0.155,-0.047,0.02,0,,
0.16,-0.046,0.018,0,,
0.165,-0.047,0.018,0,,
0.17,-0.047,0.018,0,,
0.175,-0.048,0.018,0,,
0.18,-0.049,0.018,0,,
0.185,-0.052,0.02,0,,
0.19,-0.051,0.018,0,,
0.195,-0.052,0.018,0,,
0.2,-0.053,0.018,0,,
0.205,-0.053,0.018,0,,
0.21,-0.052,0.015,0,,
0.215,-0.053,0.015,0,,
0.22,-0.056,0.018,0,,
0.225,-0.056,0.018,0,,
0.23,-0.057,0.018,0,,
0.235,-0.056,0.015,0,,
0.24,-0.057,0.015,0,,
0.245,-0.057,0.015,0,,
0.25,-0.058,0.015,0,,
0.255,-0.059,0.015,0,,
0.26,-0.06,0.015,0,,
0.265,-0.06,0.015,0,,
0.27,-0.063,0.018,0,,
0.275,-0.062,0.015,0,,
0.28,-0.063,0.015,0,,
0.285,-0.061,0.012,0,,
0.29,-0.062,0.012,0,,
0.295,-0.065,0.015,0,,
0.3,-0.065,0.015,0,,
0.305,-0.066,0.015,0,,
0.31,-0.065,0.012,0,,
0.315,-0.065,0.012,0,,
0.32,-0.066,0.012,0,,
0.325,-0.064,0.01,0,,
0.33,-0.067,0.012,0,,
0.335,-0.07,0.015,0,,
0.34,-0.068,0.012,0,,
0.345,-0.067,0.01,0,,
0.35,-0.069,0.012,0,,
0.355,-0.068,0.01,0,,
0.36,-0.068,0.01,0,,
0.365,-0.071,0.012,0,,
0.37,-0.069,0.01,0,,
0.375,-0.07,0.01,0,,
0.38,-0.07,0.01,0,,
0.385,-0.069,0.008,0,,
0.39,-0.071,0.01,0,,
0.395,-0.071,0.01,0,,
0.4,-0.072,0.01,0,,
0.405,-0.072,0.01,0,,
0.41,-0.075,0.012,0,,
0.415,-0.074,0.01,0,,
0.42,-0.074,0.01,0,,
0.425,-0.074,0.01,0,,
0.43,-0.075,0.01,0,,
0.435,-0.075,0.01,0,,
0.44,-0.074,0.008,0,,
0.445,-0.076,0.01,0,,
0.45,-0.077,0.01,0,,
0.455,-0.075,0.008,0,,
0.46,-0.078,0.01,0,,
0.465,-0.078,0.01,0,,
0.47,-0.076,0.008,0,,
0.475,-0.077,0.008,0,,
0.48,-0.077,0.008,0,,
0.485,-0.078,0.008,0,,
0.49,-0.078,0.008,0,,
0.495,-0.076,0.005,0,,
0.5,-0.078,0.008,0,,
0.505,-0.079,0.008,0,,
0.51,-0.079,0.008,0,,
0.515,-0.077,0.005,0,,
0.52,-0.08,0.008,0,,
0.525,-0.078,0.005,0,,
0.53,-0.078,0.005,0,,
0.535,-0.078,0.005,0,,
0.54,-0.079,0.005,0,,
0.545,-0.079,0.005,0,,
0.55,-0.079,0.005,0,,
0.555,-0.079,0.005,0,,
0.56,-0.08,0.005,0,,
0.565,-0.08,0.005,0,,
0.57,-0.078,0.003,0,,
0.575,-0.08,0.005,0,,
0.58,-0.081,0.005,0,,
0.585,-0.081,0.005,0,,
0.59,-0.081,0.005,0,,
0.595,-0.079,0.003,0,,
0.6,-0.084,0.008,0,,
0.605,-0.082,0.005,0,,
0.61,-0.08,0.003,0,,
0.615,-0.082,0.005,0,,
0.62,-0.082,0.005,0,,
0.625,-0.08,0.003,0,,
0.63,-0.081,0.003,0,,
0.635,-0.081,0.003,0,,
0.64,-0.083,0.005,0,,
0.645,-0.081,0.003,0,,
0.65,-0.081,0.003,0,,
0.655,-0.083,0.005,0,,
0.66,-0.081,0.003,0,,
0.665,-0.079,0,0,,
0.67,-0.079,0,0,,
0.675,-0.084,0.005,0,,
0.68,-0.082,0.003,0,,
0.685,-0.082,0.003,0,,
0.69,-0.082,0.003,0,,
0.695,-0.082,0.003,0,,
0.7,-0.082,0.003,0,,
0.705,-0.08,0,0,,
0.71,-0.08,0,0,,
0.715,-0.082,0.003,0,,
0.72,-0.08,0,0,,
0.725,-0.083,0.003,0,,
0.73,-0.081,0,0,,
0.735,-0.083,0.003,0,,
0.74,-0.083,0.003,0,,
0.745,-0.081,0,0,,
0.75,-0.081,0,0,,
0.755,-0.083,0.003,0,,
0.76,-0.081,0,0,,
0.765,-0.081,0,0,,
0.77,-0.083,0.003,0,,
0.775,-0.081,0,0,,
0.78,-0.081,0,0,,
0.785,-0.081,0,0,,
0.79,-0.081,0,0,,
0.795,-0.081,0,0,,
0.8,-0.081,0,0,,
0.805,-0.081,0,0,,
0.81,-0.081,0,0,,
0.815,-0.081,0,0,,
0.82,-0.079,-0.003,0,,
0.825,-0.083,0.003,0,,
0.83,-0.081,0,0,,
0.835,-0.079,-0.003,0,,
0.84,-0.079,-0.003,0,,
0.845,-0.081,0,0,,
0.85,-0.079,-0.003,0,,
0.855,-0.078,-0.003,0,,
0.86,-0.081,0,0,,
0.865,-0.081,0,0,,
0.87,-0.081,0,0,,
0.875,-0.081,0,0,,
0.88,-0.081,0,0,,
0.885,-0.081,0,0,,
0.89,-0.081,0,0,,
0.895,-0.078,-0.003,0,,
0.9,-0.078,-0.003,0,,
0.905,-0.08,0,0,,
0.91,-0.078,-0.003,0,,
0.915,-0.078,-0.003,0,,
0.92,-0.08,0,0,,
0.925,-0.08,0,0,,
0.93,-0.08,0,0,,
0.935,-0.078,-0.003,0,,
0.94,-0.078,-0.003,0,,
0.945,-0.08,0,0,,
0.95,-0.075,-0.005,0,,
0.955,-0.077,-0.003,0,,
0.96,-0.079,0,0,,
0.965,-0.079,0,0,,
0.97,-0.077,-0.003,0,,
0.975,-0.079,0,0,,
0.98,-0.079,0,0,,
0.985,-0.077,-0.003,0,,
0.99,-0.077,-0.003,0,,
0.995,-0.079,0,0,,
1,3.367,0,4,,
1.005,3.23,0.382,4,,
1.01,3.104,0.73,4,,
1.015,3.022,1.007,4,,
1.02,2.989,1.213,4,,
1.025,2.961,1.4,4,,
1.03,2.974,1.53,4,,
1.035,2.972,1.67,4,,
1.04,2.972,1.8,4,,
1.045,3.043,1.84,4,,
1.05,3.028,1.977,4,,
1.055,3.048,2.068,4,,
1.06,3.069,2.15,4,,
1.065,3.074,2.247,4,,
1.07,3.117,2.295,4,,
1.075,3.104,2.405,4,,
1.08,3.125,2.47,4,,
1.085,3.14,2.537,4,,
1.09,3.126,2.635,4,,
1.095,3.198,2.628,4,,
1.1,3.15,2.76,4,,
1.105,3.222,2.745,4,,
1.11,3.153,2.895,4,,
1.115,3.224,2.875,4,,
1.12,3.207,2.957,4,,
1.125,3.211,3.01,4,,
1.13,3.203,3.075,4,,
1.135,3.187,3.145,4,,
1.14,3.232,3.14,4,,
1.145,3.198,3.227,4,,
1.15,3.235,3.227,4,,
1.155,3.216,3.293,4,,
1.16,3.255,3.288,4,,
1.165,3.265,3.315,4,,
1.17,3.201,3.428,4,,
1.175,3.25,3.402,4,,
1.18,3.231,3.457,4,,
1.185,3.199,3.525,4,,
1.19,3.254,3.487,4,,
1.195,3.182,3.6,4,,
1.2,3.225,3.572,4,,
1.205,3.246,3.572,4,,
1.21,3.176,3.677,4,,
1.215,3.23,3.632,4,,
1.22,3.228,3.655,4,,
1.225,3.161,3.753,4,,
1.23,3.203,3.717,4,,
1.235,3.24,3.69,4,,
1.24,3.151,3.81,4,,
1.245,3.156,3.815,4,,
1.25,3.204,3.77,4,,
1.255,3.189,3.8,4,,
1.26,3.184,3.817,4,,
1.265,3.207,3.8,4,,
1.27,3.189,3.832,4,,
1.275,3.145,3.893,4,,
1.28,3.166,3.875,4,,
1.285,3.174,3.872,4,,
1.29,3.107,3.957,4,,
1.295,3.117,3.947,4,,
1.3,3.152,3.91,4,,
1.305,3.135,3.935,4,,
1.31,3.108,3.97,4,,
1.315,3.144,3.93,4,,
1.32,3.149,3.928,4,,
1.325,3.095,3.995,4,,
1.33,3.11,3.977,4,,
1.335,3.15,3.932,4,,
1.34,3.151,3.935,4,,
1.345,3.1,3.997,4,,
1.35,3.107,3.99,4,,
1.355,3.137,3.955,4,,
1.36,3.09,4.012,4,,
1.365,3.07,4.035,4,,
1.37,3.094,4.005,4,,
1.375,3.107,3.99,4,,
1.38,3.062,4.043,4,,
1.385,3.082,4.017,4,,
1.39,3.109,3.985,4,,
1.395,3.105,3.99,4,,
1.4,3.03,4.078,4,,
1.405,3.029,4.075,4,,
1.41,3.073,4.02,4,,
1.415,3.078,4.012,4,,
1.42,3.045,4.05,4,,
1.425,3.06,4.03,4,,
1.43,3.074,4.012,4,,
1.435,3.036,4.055,4,,
1.44,3.008,4.085,4,,
1.445,3.043,4.04,4,,
1.45,3.082,3.993,4,,
1.455,3.032,4.05,4,,
1.46,3.026,4.055,4,,
1.465,3.047,4.027,4,,
1.47,3.039,4.035,4,,
1.475,2.986,4.095,4,,
1.48,3.018,4.053,4,,
1.485,3.058,4.003,4,,
1.49,3.047,4.015,4,,
1.495,2.973,4.1,4,,
1.5,2.973,4.095,4,,
1.505,3.016,4.04,4,,
1.51,3.029,4.023,4,,
1.515,2.998,4.057,4,,
1.52,2.997,4.055,4,,
1.525,3.007,4.04,4,,
1.53,2.988,4.06,4,,
1.535,2.966,4.082,4,,
1.54,3.005,4.033,4,,
1.545,3.047,3.983,4,,
1.55,2.998,4.04,4,,
1.555,2.966,4.075,4,,
1.56,2.99,4.043,4,,
1.565,3.003,4.025,4,,
1.57,2.952,4.082,4,,
1.575,2.983,4.043,4,,
1.58,3.02,3.997,4,,
1.585,3.005,4.015,4,,
1.59,2.924,4.108,4,,
1.595,2.934,4.09,4,,
1.6,2.992,4.017,4,,
1.605,2.994,4.015,4,,
1.61,2.963,4.05,4,,
1.615,2.967,4.043,4,,
1.62,2.98,4.025,4,,
1.625,2.953,4.055,4,,
1.63,2.942,4.065,4,,
1.635,2.971,4.027,4,,
1.64,3.008,3.983,4,,
1.645,2.962,4.037,4,,
1.65,2.949,4.05,4,,
1.655,2.97,4.023,4,,
1.66,2.969,4.023,4,,
1.665,2.91,4.09,4,,
1.67,2.934,4.057,4,,
1.675,2.987,3.993,4,,
1.68,3.002,3.975,4,,
1.685,2.928,4.062,4,,
1.69,2.93,4.057,4,,
1.695,2.959,4.02,4,,
1.7,2.943,4.037,4,,
1.705,2.913,4.07,4,,
1.71,2.962,4.01,4,,
1.715,2.993,3.972,4,,
1.72,2.945,4.03,4,,
1.725,2.942,4.033,4,,
1.73,2.964,4.005,4,,
1.735,2.959,4.01,4,,
1.74,2.898,4.08,4,,
1.745,2.914,4.057,4,,
1.75,2.969,3.99,4,,
1.755,2.978,3.98,4,,
1.76,2.932,4.035,4,,
1.765,2.933,4.033,4,,
1.77,2.957,4.003,4,,
1.775,2.937,4.025,4,,
1.78,2.906,4.06,4,,
1.785,2.942,4.015,4,,
1.79,2.969,3.983,4,,
1.795,2.925,4.035,4,,
1.8,2.938,4.017,4,,
1.805,2.967,3.983,4,,
1.81,2.968,3.983,4,,
1.815,2.9,4.062,4,,
1.82,2.901,4.057,4,,
1.825,2.938,4.012,4,,
1.83,2.946,4.003,4,,
1.835,2.915,4.037,4,,
1.84,2.948,3.997,4,,
1.845,2.989,3.95,4,,
1.85,2.94,4.01,4,,
1.855,2.92,4.033,4,,
1.86,2.948,3.997,4,,
1.865,2.951,3.995,4,,
1.87,2.888,4.068,4,,
1.875,2.894,4.057,4,,
1.88,2.951,3.988,4,,
1.885,2.956,3.983,4,,
1.89,2.925,4.02,4,,
1.895,2.943,3.997,4,,
1.9,2.98,3.955,4,,
1.905,2.928,4.017,4,,
1.91,2.902,4.047,4,,
1.915,2.929,4.012,4,,
1.92,2.942,3.997,4,,
1.925,2.89,4.057,4,,
1.93,2.911,4.03,4,,
1.935,2.953,3.98,4,,
1.94,2.967,3.965,4,,
1.945,2.925,4.015,4,,
1.95,2.933,4.005,4,,
1.955,2.965,3.967,4,,
1.96,2.93,4.01,4,,
1.965,2.902,4.043,4,,
1.97,2.926,4.012,4,,
1.975,2.944,3.99,4,,
1.98,2.895,4.047,4,,
1.985,2.91,4.027,4,,
1.99,2.954,3.975,4,,
1.995,2.97,3.957,4,,
2,2.923,4.015,4,,
2.005,2.924,4.012,4,,
2.01,2.965,3.965,4,,
2.015,2.928,4.01,4,,
2.02,2.897,4.045,4,,
2.025,2.923,4.012,4,,
2.03,2.946,3.985,4,,
2.035,2.886,4.055,4,,
2.04,2.909,4.025,4,,
2.045,2.96,3.965,4,,
2.05,2.964,3.963,4,,
2.055,2.918,4.017,4,,
2.06,2.926,4.008,4,,
2.065,2.962,3.965,4,,
2.07,2.919,4.017,4,,
2.075,2.896,4.043,4,,
2.08,2.927,4.005,4,,
2.085,2.946,3.983,4,,
2.09,2.893,4.045,4,,
2.095,2.914,4.017,4,,
2.1,2.95,3.975,4,,
2.105,2.958,3.967,4,,
2.11,2.92,4.012,4,,
2.115,2.933,3.997,4,,
2.12,2.961,3.965,4,,
2.125,2.92,4.015,4,,
2.13,2.899,4.037,4,,
2.135,2.926,4.005,4,,
2.14,2.932,3.997,4,,
2.145,2.885,4.053,4,,
2.15,2.901,4.03,4,,
2.155,2.945,3.977,4,,
2.16,2.955,3.967,4,,
2.165,2.913,4.017,4,,
2.17,2.921,4.008,4,,
2.175,2.96,3.963,4,,
2.18,2.918,4.012,4,,
2.185,2.892,4.043,4,,
2.19,2.922,4.005,4,,
2.195,2.935,3.99,4,,
2.2,2.879,4.055,4,,
2.205,2.896,4.033,4,,
2.21,2.946,3.972,4,,
2.215,2.954,3.965,4,,
2.22,2.908,4.02,4,,
2.225,2.916,4.01,4,,
2.23,2.959,3.96,4,,
2.235,2.917,4.01,4,,
2.24,2.893,4.037,4,,
2.245,2.922,4.003,4,,
2.25,2.932,3.99,4,,
2.255,2.874,4.057,4,,
2.26,2.898,4.027,4,,
2.265,2.946,3.97,4,,
2.27,2.949,3.967,4,,
2.275,2.914,4.01,4,,
2.28,2.922,4,4,,
2.285,2.959,3.957,4,,
2.29,2.916,4.01,4,,
2.295,2.896,4.033,4,,
2.3,2.916,4.008,4,,
2.305,2.922,4,4,,
2.31,2.875,4.055,4,,
2.315,2.891,4.033,4,,
2.32,2.929,3.988,4,,
2.325,2.951,3.963,4,,
2.33,2.905,4.017,4,,
2.335,2.915,4.005,4,,
2.34,2.954,3.96,4,,
2.345,2.919,4.003,4,,
2.35,2.891,4.035,4,,
2.355,2.913,4.008,4,,
2.36,2.93,3.988,4,,
2.365,2.872,4.055,4,,
2.37,2.885,4.037,4,,
2.375,2.935,3.977,4,,
2.38,2.946,3.965,4,,
2.385,2.903,4.017,4,,
2.39,2.917,4,4,,
2.395,2.962,3.947,4,,
2.4,2.913,4.008,4,,
2.405,2.887,4.037,4,,
2.41,2.915,4.003,4,,
2.415,2.922,3.995,4,,
2.42,2.87,4.055,4,,
2.425,2.889,4.03,4,,
2.43,2.935,3.975,4,,
2.435,2.941,3.97,4,,
2.44,2.905,4.012,4,,
2.445,2.924,3.99,4,,
2.45,2.957,3.952,4,,
2.455,2.912,4.008,4,,
2.46,2.886,4.037,4,,
2.465,2.914,4.003,4,,
2.47,2.92,3.995,4,,
2.475,2.871,4.053,4,,
2.48,2.886,4.033,4,,
2.485,2.929,3.98,4,,
2.49,2.943,3.965,4,,
2.495,2.906,4.01,4,,
2.5,2.914,4,4,,
2.505,2.955,3.952,4,,
2.51,2.917,4,4,,
2.515,2.884,4.037,4,,
2.52,2.91,4.005,4,,
2.525,2.923,3.99,4,,
2.53,2.87,4.053,4,,
2.535,2.885,4.033,4,,
2.54,2.932,3.975,4,,
2.545,2.942,3.965,4,,
2.55,2.903,4.012,4,,
2.555,2.922,3.99,4,,
2.56,2.957,3.95,4,,
2.565,2.908,4.01,4,,
2.57,2.881,4.04,4,,
2.575,2.912,4.003,4,,
2.58,2.924,3.988,4,,
2.585,2.867,4.055,4,,
2.59,2.89,4.025,4,,
2.595,2.934,3.972,4,,
2.6,2.946,3.96,4,,
2.605,2.903,4.012,4,,
2.61,2.917,3.995,4,,
2.615,2.952,3.955,4,,
2.62,2.907,4.01,4,,
2.625,2.883,4.037,4,,
2.63,2.909,4.005,4,,
2.635,2.915,3.997,4,,
2.64,2.872,4.047,4,,
2.645,2.891,4.023,4,,
2.65,2.938,3.967,4,,
2.655,2.95,3.955,4,,
2.66,2.909,4.005,4,,
2.665,2.909,4.005,4,,
2.67,2.945,3.963,4,,
2.675,2.906,4.01,4,,
2.68,2.878,4.043,4,,
2.685,2.906,4.008,4,,
2.69,2.931,3.977,4,,
2.695,2.881,4.037,4,,
2.7,2.896,4.017,4,,
2.705,2.945,3.96,4,,
2.71,2.953,3.952,4,,
2.715,2.897,4.02,4,,
2.72,2.905,4.01,4,,
2.725,2.937,3.972,4,,
2.73,2.906,4.01,4,,
2.735,2.875,4.045,4,,
2.74,2.912,4,4,,
2.745,2.931,3.977,4,,
2.75,2.885,4.033,4,,
2.755,2.905,4.008,4,,
2.76,2.95,3.955,4,,
2.765,2.952,3.955,4,,
2.77,2.889,4.03,4,,
2.775,2.89,4.027,4,,
2.78,2.921,3.99,4,,
2.785,2.891,4.025,4,,
2.79,2.873,4.045,4,,
2.795,2.914,3.995,4,,
2.8,2.94,3.965,4,,
2.805,2.896,4.017,4,,
2.81,2.919,3.99,4,,
2.815,2.943,3.963,4,,
2.82,2.945,3.963,4,,
2.825,2.874,4.047,4,,
2.83,2.874,4.045,4,,
2.835,2.906,4.005,4,,
2.84,2.904,4.008,4,,
2.845,2.884,4.03,4,,
2.85,2.917,3.99,4,,
2.855,2.95,3.952,4,,
2.86,2.915,3.995,4,,
2.865,2.913,3.997,4,,
2.87,2.929,3.98,4,,
2.875,2.93,3.98,4,,
2.88,2.864,4.057,4,,
2.885,2.861,4.057,4,,
2.89,2.914,3.993,4,,
2.895,2.917,3.99,4,,
2.9,2.891,4.02,4,,
2.905,2.925,3.98,4,,
2.91,2.947,3.955,4,,
2.915,2.913,3.997,4,,
2.92,2.894,4.02,4,,
2.925,2.916,3.993,4,,
2.93,2.919,3.99,4,,
2.935,2.857,4.062,4,,
2.94,2.878,4.035,4,,
2.945,2.925,3.977,4,,
2.95,2.937,3.965,4,,
2.955,2.9,4.01,4,,
2.96,2.908,4,4,,
2.965,2.926,3.98,4,,
2.97,2.899,4.012,4,,
2.975,2.881,4.033,4,,
2.98,2.903,4.005,4,,
2.985,2.92,3.985,4,,
2.99,2.88,4.033,4,,
2.995,2.895,4.012,4,,
3,2.933,3.967,4,,
3.005,2.937,3.965,4,,
3.01,2.876,4.037,4,,
3.015,2.868,4.045,4,,
3.02,2.9,4.005,4,,
3.025,2.898,4.008,4,,
3.03,2.876,4.033,4,,
3.035,2.909,3.993,4,,
3.04,2.948,3.947,4,,
3.045,2.901,4.005,4,,
3.05,2.892,4.015,4,,
3.055,2.911,3.993,4,,
3.06,2.913,3.99,4,,
3.065,2.851,4.062,4,,
3.07,2.864,4.045,4,,
3.075,2.92,3.977,4,,
3.08,2.927,3.97,4,,
3.085,2.892,4.012,4,,
3.09,2.9,4.003,4,,
3.095,2.928,3.97,4,,
3.1,2.884,4.023,4,,
3.105,2.87,4.037,4,,
3.11,2.896,4.005,4,,
3.115,2.918,3.98,4,,
3.12,2.878,4.027,4,,
3.125,2.9,4,4,,
3.13,2.928,3.967,4,,
3.135,2.929,3.967,4,,
3.14,2.866,4.043,4,,
3.145,2.862,4.045,4,,
3.15,2.895,4.005,4,,
3.155,2.899,4,4,,
3.16,2.879,4.023,4,,
3.165,2.906,3.99,4,,
3.17,2.939,3.952,4,,
3.175,2.907,3.993,4,,
3.18,2.886,4.017,4,,
3.185,2.902,3.997,4,,
3.19,2.909,3.99,4,,
3.195,2.853,4.055,4,,
3.2,2.861,4.043,4,,
3.205,2.917,3.975,4,,
3.21,2.931,3.96,4,,
3.215,2.886,4.015,4,,
3.22,2.887,4.012,4,,
3.225,2.913,3.983,4,,
3.23,2.888,4.012,4,,
3.235,2.863,4.04,4,,
3.24,2.898,3.997,4,,
3.245,2.926,3.965,4,,
3.25,2.876,4.025,4,,
3.255,2.892,4.005,4,,
3.26,2.929,3.963,4,,
3.265,2.924,3.97,4,,
3.27,2.856,4.05,4,,
3.275,2.863,4.04,4,,
3.28,2.897,3.997,4,,
3.285,2.902,3.993,4,,
3.29,2.889,4.008,4,,
3.295,2.912,3.98,4,,
3.3,2.946,3.943,4,,
3.305,2.901,3.997,4,,
3.31,2.88,4.023,4,,
3.315,2.892,4.008,4,,
3.32,2.906,3.99,4,,
3.325,2.859,4.045,4,,
3.33,2.874,4.025,4,,
3.335,2.923,3.967,4,,
3.34,2.942,3.947,4,,
3.345,2.886,4.015,4,,
3.35,2.881,4.02,4,,
3.355,2.91,3.985,4,,
3.36,2.889,4.01,4,,
3.365,2.861,4.043,4,,
3.37,2.906,3.988,4,,
3.375,2.933,3.957,4,,
3.38,2.892,4.008,4,,
3.385,2.902,3.995,4,,
3.39,2.928,3.965,4,,
3.395,2.925,3.97,4,,
3.4,2.854,4.055,4,,
3.405,2.86,4.045,4,,
3.41,2.905,3.99,4,,
3.415,2.903,3.993,4,,
3.42,2.891,4.008,4,,
3.425,2.914,3.98,4,,
3.43,2.934,3.957,4,,
3.435,2.898,4.003,4,,
3.44,2.884,4.017,4,,
3.445,2.899,4,4,,
3.45,2.905,3.993,4,,
3.455,2.867,4.037,4,,
3.46,2.887,4.012,4,,
3.465,2.927,3.965,4,,
3.47,2.937,3.955,4,,
3.475,2.883,4.02,4,,
3.48,2.872,4.033,4,,
3.485,2.898,4,4,,
3.49,2.894,4.005,4,,
3.495,2.87,4.033,4,,
3.5,2.907,3.988,4,,
3.505,2.938,3.952,4,,
3.51,2.899,4,4,,
3.515,2.89,4.01,4,,
3.52,2.916,3.98,4,,
3.525,2.915,3.983,4,,
3.53,2.849,4.06,4,,
3.535,2.863,4.04,4,,
3.54,2.913,3.98,4,,
3.545,2.92,3.972,4,,
3.55,2.894,4.005,4,,
3.555,2.911,3.985,4,,
